STATEFP,PUMA5CE,PUMA NAME
09,00902,"Meriden, Wallingford & North Haven Towns"
09,00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns"
09,00904,"West Haven, Milford & Orange Towns"
09,00905,New Haven Town
09,00906,"East Haven, Branford, Guilford, Madison & North Branford Towns"
09,01100,New London County (North)
09,01101,New London County (South)
09,01300,Tolland County
09,01500,Windham County
10,00101,New Castle County (East Central)--Wilmington City
10,00102,New Castle County (North)--Hockessin
10,00103,New Castle County (West Central)--Newark City & Brookside
10,00104,"New Castle County (South)--Middletown Town, Bear & Glasgow"
10,00200,Kent County--Dover City
10,00300,Sussex County
11,00101,District of Columbia (West)
11,00102,District of Columbia (North)
11,00103,District of Columbia (Northeast)
11,00104,District of Columbia (East)
11,00105,District of Columbia (Central)
12,00101,Alachua County (Central)--Gainesville City (Central)
12,00102,Alachua County (Outer)
